,Artist,Title,Year,Lyrics
0,Bryan Adams,(Everything I Do) I Do It For You,1991,Lyrics not found.
1,Color Me Badd,I Wanna Sex You Up,1991,Lyrics not found.
2,C+C Music Factory,Gonna Make You Sweat,1991,Lyrics not found.
3,Paula Abdul,Rush Rush,1991,Lyrics not found.
4,Timmy T,One More Try,1991,Lyrics not found.
5,EMF,Unbelievable,1991,Lyrics not found.
6,Extreme,More Than Words,1991,Lyrics not found.
7,Hi-Five,I Like The Way (The Kissing Game),1991,Lyrics not found.
8,Surface,The First Time,1991,Lyrics not found.
9,Amy Grant,"Baby, Baby",1991,Lyrics not found.
10,Boyz II Men,Motownphilly,1991,Lyrics not found.
11,Stevie B,Because I Love You (The Postman Song),1991,Lyrics not found.
12,Mariah Carey,Someday,1991,Lyrics not found.
13,Damn Yankees,High Enough,1991,Lyrics not found.
14,Bette Midler,From A Distance,1991,Lyrics not found.
15,Whitney Houston,All The Man That I Need,1991,Lyrics not found.
16,Jesus Jones,"Right Here, Right Now",1991,Lyrics not found.
17,Color Me Badd,I Adore Mi Amor,1991,Lyrics not found.
18,Janet Jackson,Love Will Never Do (Without You),1991,Lyrics not found.
19,Marky Mark,Good Vibrations,1991,Lyrics not found.
20,Madonna,Justify My Love,1991,Lyrics not found.
21,Mariah Carey,Emotions,1991,Lyrics not found.
22,Roxette,Joyride,1991,Lyrics not found.
23,Karyn White,Romantic,1991,Lyrics not found.
24,Tara Kemp,Hold You Tight,1991,Lyrics not found.
